referencia_busca_cliente;referencia;numero;recorrencia;;id_importacao_pessoa;Plano;servicos.referencia;servicos.quantidade;data_vigencia_inicial;data_vigencia_final;servicos.valor_unitario;dia_vencimento;data_primeiro_vencimento;Último Reajuste;data_proximo_reajuste;indice_reajuste;codigo_vendedor;codigo_forma_pagamento;codigo_banco_conta;tipo_faturamento
1;673;673;1;;227;Ura Reversa (JT Tecnologia) - Mensal;10;1;04/12/2024;25/03/2025;780,00;2;2/05/2025;;;1;1;5;3;0
1;676;676;1;;228;0800/400x Virtual (JT Tecnologia) - Mensal;2;1;10/12/2024;;199,00;2;2/05/2025;;;1;1;5;3;0
1;680;680;1;;230;Discador Preditivo (JT Tecnologia) - Mensal;6;1;09/01/2025;11/03/2025;400,00;10;10/05/2025;;;1;1;5;3;0
1;683;683;1;;65;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;31/01/2025;;1132,25;2;2/05/2025;;;1;1;5;3;0
1;686;686;1;;232;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;21/01/2025;;230,00;2;2/05/2025;;;1;1;5;3;0
1;689;689;1;;233;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;28/01/2025;03/07/2025;297,00;10;10/05/2025;;;1;1;5;3;0
1;691;691;1;;233;Chatbot (JT Tecnologia) - Mensal;4;1;28/01/2025;03/07/2025;200,00;10;10/05/2025;;;1;1;5;3;0
1;694;694;1;;234;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/02/2025;;420,00;2;2/05/2025;;;1;1;5;3;0
1;696;696;1;;234;Chatbot (JT Tecnologia) - Mensal;4;1;17/02/2025;;100,00;2;2/05/2025;;;1;1;5;3;0
1;698;698;1;;234;CRM (JT Tecnologia) - Mensal;5;1;17/02/2025;01/04/2025;100,00;2;2/05/2025;;;1;1;5;3;0
1;701;701;1;;235;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;20/02/2025;;300,00;2;2/05/2025;;;1;1;5;3;0
1;704;704;1;;236;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;20/02/2025;;300,00;2;2/05/2025;;;1;1;5;3;0
1;707;707;1;;237;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;21/02/2025;;250,00;2;2/05/2025;;;1;1;5;3;0
1;710;710;1;;238;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;21/02/2025;11/03/2025;400,00;2;2/05/2025;;;1;1;5;3;0
1;712;712;1;;238;Chatbot (JT Tecnologia) - Mensal;4;1;21/02/2025;27/02/2025;570,00;2;2/05/2025;;;1;1;5;3;0
1;714;714;1;;238;CRM (JT Tecnologia) - Mensal;5;1;21/02/2025;27/02/2025;400,00;2;2/05/2025;;;1;1;5;3;0
1;716;716;1;;238;Ura Reversa (JT Tecnologia) - Mensal;10;1;21/02/2025;11/03/2025;910,00;2;2/05/2025;;;1;1;5;3;0
1;719;719;1;;239;Assistentes de IA (JT Tecnologia) - Mensal;3;1;24/02/2025;;480,00;2;2/05/2025;;;1;1;5;3;0
1;722;722;1;;239;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;24/02/2025;;270,00;2;2/05/2025;;;1;1;5;3;0
1;724;724;1;;239;Chatbot (JT Tecnologia) - Mensal;4;1;24/02/2025;;200,00;2;2/05/2025;;;1;1;5;3;0
1;727;727;1;;240;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;24/02/2025;16/04/2025;520,00;5;5/05/2025;;;1;1;5;3;0
1;732;732;1;;241;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;24/02/2025;;400,00;2;2/05/2025;;;1;1;5;3;0
1;734;734;1;;237;Chatbot (JT Tecnologia) - Mensal;4;1;17/03/2025;07/04/2025;180,00;2;2/05/2025;;;1;1;5;3;0
1;737;737;1;;242;Plano Pabx em Nuvem (JT Tecnologia) - Mensal;8;1;17/03/2025;02/06/2025;250,00;2;2/05/2025;;;1;1;5;3;0
